,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
30827,30827,30900.0,45597.0,6.4859849999999994,17.496562,421.9409,-9.06,-16.51,0.0,7.8,-0.326,K0,1.57,-51.062093,399.167081,126.85593200000001,1.709e-05,1.242e-05,-3.221e-05,1.6980269556639551,0.3053726216260425,-4.392411945833333e-08,-8.0042738e-08,Gem,1,30827,117.59801740658483
30857,30857,30930.0,258337.0,6.4911650000000005,3.623818,485.4369,-9.75,-7.37,0.0,9.71,1.2790000000000001,F0,0.391,-62.12433299999999,480.46659800000003,30.682234,2.261e-05,4.03e-06,-1.731e-05,1.6993829083933292,0.06324756035578,-4.726933385416667e-08,-3.5730767999999996e-08,Mon,1,30857,26.816370667607288
30884,30884,30957.0,45981.0,6.4981029999999995,-20.231427,133.1558,3.07,-10.24,0.0,8.31,2.688,A3II/III,0.215,-16.246499,123.879751,-46.046995,-1.67e-06,-2.52e-06,-6.2e-06,1.701199415233075,-0.35310500939304995,1.4883779993055555e-08,-4.964492e-08,CMa,1,30884,7.324871326650399
30909,30909,30982.0,258113.0,6.502456,33.93053,347.2222,-3.74,-10.72,0.0,10.6,2.897,F2,0.449,-37.787656,285.606525,193.815021,4.92e-06,1.081e-05,-1.497e-05,1.7023390533447231,0.5921994612447725,-1.8132031652777783e-08,-5.1972026e-08,Aur,1,30909,6.042268220498806
30944,30944,31017.0,46035.0,6.508274,-14.954366,294.9853,-5.07,0.5,0.0,6.75,-0.599,B8V,-0.013000000000000001,-37.811213,282.475229,-76.120852,7.16e-06,1.14e-06,6.9e-07,1.703862095924531,-0.26100293178940503,-2.4580053604166667e-08,2.4240679999999997e-09,CMa,1,30944,151.2167848791768
30973,30973,31046.0,45850.0,6.514149,24.384271,86.9565,6.75,-27.65,0.0,8.58,3.883,F5,0.498,-10.62843,78.483326,35.900375,-3.47e-06,4.39e-06,-1.062e-05,1.70540022134308,0.4255858160539076,3.2724923437500004e-08,-1.34050982e-07,Gem,1,30973,2.436688423459583
31005,31005,31079.0,46569.0,6.521744,-51.825953000000005,36.914,102.5,104.6,16.0,5.58,2.7439999999999998,F8V,0.534,-3.106716,22.602362,-29.019571000000003,-2.155e-05,2.21e-05,-1.3e-06,1.7073886331726975,-0.9045335157427962,4.969340225694444e-07,5.07115109e-07,Car,1,31005,6.956647535283519
31033,31033,31107.0,46075.0,6.527605,11.792275,340.1361,-10.24,-6.88,10.0,6.64,-1.018,B6III,-0.11900000000000001,-45.844235,329.786398,69.511618,1.503e-05,1.454e-05,-9.01e-06,1.7089230456069422,0.20581402914216626,-4.9644920888888895e-08,-3.3355181000000005e-08,Mon,1,31033,222.43339984851107
31069,31069,31144.0,46087.0,6.534217,19.719263,255.7545,-31.72,-4.96,0.0,7.88,0.841,G5,1.046,-33.561937,238.40555099999997,86.294575,3.865e-05,7.54e-06,-5.79e-06,1.7106539973996295,0.3441660585908675,-1.5378289947222222e-07,-2.4046757999999996e-08,Gem,1,31069,40.14209182043211
31093,31093,31170.0,46755.0,6.540083,-51.170955,188.3239,-5.92,-2.59,0.0,9.1,2.725,F0V,0.35200000000000004,-16.639991000000002,116.900504,-146.708126,5.61e-06,-1.06e-06,-1.48e-06,1.7121898198665135,-0.8931016448708975,-2.870096988888889e-08,-1.2556673999999998e-08,Car,1,31093,7.079457843841378
31118,31118,31195.0,46340.0,6.544517,-5.340594,204.499,-11.01,6.84,0.0,7.59,1.037,B8,0.057999999999999996,-28.92741,201.54591100000002,-19.033957,1.071e-05,2.18e-06,6.75e-06,1.7133504149426206,-0.09321095383901874,-5.337798622916666e-08,3.3161254999999994e-08,Mon,1,31118,33.51197319677077
31143,31143,31220.0,46917.0,6.548839,-54.266773,480.7692,7.6,29.96,0.0,8.78,0.37,K2III,1.35,-40.204747,277.881601,-390.261986,-2.565e-05,5.356e-05,4.078e-05,1.7144820444010975,-0.9471338650609424,3.6845839722222215e-08,1.4525017800000002e-07,Car,1,31143,61.94410750767812
31166,31166,31243.0,46726.0,6.553287999999999,-37.82195,172.4138,-7.07,6.12,0.0,7.25,1.067,F3IV/V,0.327,-19.658707,134.76685600000002,-105.72581699999999,5.39e-06,3.96e-06,4.04e-06,1.7156467350821367,-0.6601175503822763,-3.427632721527779e-08,2.9670597000000002e-08,Col,1,31166,32.59867889044684
31193,31193,31270.0,46859.0,6.557747999999999,-45.063716,625.0,-1.93,-20.41,0.0,8.68,-0.299,K0III,1.1320000000000001,-64.230875,436.752214,-442.43293,1.215e-05,-4.246e-05,-4.368e-05,1.71681446312709,-0.7865102218166301,-9.35690403472222e-09,-9.895047199999999e-08,Pup,1,31193,114.70966197735564
31217,31217,31294.0,259654.0,6.562741,9.16901,606.0606,-1.38,-11.49,0.0,8.52,-0.39299999999999996,K2,1.14,-87.828637,591.835304,96.574088,3.22e-06,5.92e-06,-3.333e-05,1.7181215754587482,0.16002941658045375,-6.690428791666666e-09,-5.570509099999999e-08,Mon,1,31217,125.08349283740652
31245,31245,31322.0,46721.0,6.568596,-21.536118,313.4796,4.26,4.24,0.0,7.94,0.45899999999999996,A1IV,0.081,-43.246084,288.369722,-115.074495,-6.75e-06,1.38e-06,5.99e-06,1.7196544697142997,-0.37587616413412495,2.0653062791666668e-08,2.0556099999999998e-08,CMa,1,31245,57.068965489280615
31275,31275,31352.0,46691.0,6.574192,-7.950317999999999,350.8772,2.08,6.27,0.0,8.43,0.7040000000000001,K5,1.195,-52.041452,343.585803,-48.53136,-3.72e-06,9.3e-07,1.056e-05,1.7211193772360898,-0.13875922401910126,1.0084124555555557e-08,3.0397817e-08,Mon,1,31275,45.54073126832542
31304,31304,31382.0,46854.0,6.579393,-20.557443,149.7006,-12.54,3.23,0.0,7.02,1.1440000000000001,A1V,0.10300000000000001,-21.179868,138.558339,-52.56681,8.87e-06,2.19e-06,2.19e-06,1.722481075038189,-0.35879506597954125,-6.079563554166666e-08,1.5659481000000003e-08,CMa,1,31304,30.366867884657847
31329,31329,31406.0,46713.0,6.582883,0.504087,485.4369,-1.1,-2.52,0.0,8.1,-0.331,A0,0.039,-73.786896,479.77727999999996,4.27081,2.55e-06,4.5e-07,-5.93e-06,1.723394766336683,0.00879798309859,-5.332950486111112e-09,-1.2217303999999997e-08,Mon,1,31329,118.14082519208864
31358,31358,31435.0,259979.0,6.586882000000001,18.065091,59.6659,52.1,-139.77,0.0,8.08,4.2010000000000005,G0,0.726,-8.681231,56.056429,18.502231,-1.681e-05,1.008e-05,-3.843e-05,1.724441584144366,0.3152953117892913,2.525879275694445e-07,-6.776240809999999e-07,Gem,1,31358,1.818025623774264
31383,31383,31462.0,44490.0,6.590812,80.573222,300.3003,-0.92,1.22,0.0,7.16,-0.228,K0,1.348,-7.577389999999999,48.598112,296.244961,1.59e-06,-1.52e-06,2.9e-07,1.7254705649724988,1.4062680127538525,-4.460285861111112e-09,5.914726e-09,Cam,1,31383,107.44841166445543
31407,31407,31486.0,47041.0,6.593812,-26.041538,96.1538,1.04,-6.84,0.0,7.92,3.005,F7V,0.8,-13.376427,85.35003499999999,-42.213694,-2.6e-07,-1.46e-06,-2.86e-06,1.7262560621180447,-0.4545105761609812,5.0420622777777785e-09,-3.3161254999999994e-08,CMa,1,31407,5.470159628939715
31431,31431,31511.0,46493.0,6.598528999999999,43.705828000000004,336.7003,-13.04,-18.18,0.0,6.87,-0.7659999999999999,G5,0.976,-37.983419,240.417596,232.645076,1.782e-05,2.357e-05,-2.145e-05,1.7274907238275905,0.7628106077826388,-6.321970394444445e-08,-8.813912699999999e-08,Aur,1,31431,176.3599633897995
