,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
68484,68484,68703.0,123397.0,14.064048000000001,72.945673,155.0388,-45.19,30.39,0.0,8.28,2.3280000000000003,F8,0.511,-38.991137,-23.391631,148.221296,1.25e-06,4.036e-05,6.7e-06,3.681959234986105,1.2731421771801736,-2.190873022430556e-07,1.4733487699999997e-07,UMi,1,68484,10.20469431942199
68494,68494,68713.0,122749.0,14.066877999999999,-12.752625,210.084,-18.84,-7.12,0.0,8.31,1.6980000000000002,A0V,0.091,-175.629198,-105.541878,-46.374386,-8.51e-06,1.727e-05,-7.07e-06,3.682699998784648,-0.2225752880389225,-9.133889741666667e-08,-3.4518734e-08,Vir,1,68494,18.230559606810687
68506,68506,68725.0,122632.0,14.0683,-43.402654,287.3563,15.81,-0.09,0.0,9.33,2.0380000000000003,F0V,0.415,-178.910504,-107.60448999999998,-197.448597,1.142e-05,-1.883e-05,-9e-08,3.683072333679125,-0.757519220817905,7.664904289583334e-08,-4.3633199999999995e-10,Cen,1,68506,13.32907464231338
68518,68518,68737.0,122969.0,14.070194,37.197471,277.7778,6.18,-2.23,0.0,8.43,1.212,K0,1.032,-189.556422,-114.13540800000001,167.93444499999998,2.74e-06,-8.07e-06,-2.39e-06,3.683568270162998,0.6492183384007313,2.996148545833333e-08,-1.0811344999999999e-08,CVn,1,68518,28.523315122990113
68534,68534,68753.0,122754.0,14.072713,-28.599876000000002,460.8295,-26.6,-13.5,0.0,8.33,0.012,F2IV,0.33399999999999996,-346.480452,-208.93350800000002,-220.594456,-1.832e-05,5.834e-05,-2.648e-05,3.684227538596159,-0.4991620056861525,-1.2896043902777775e-07,-6.544984599999999e-08,Hya,1,68534,86.13903457724281
68547,68547,68766.0,123133.0,14.074527,52.415662,492.6108,-53.58,-25.5,0.0,7.81,-0.653,K0,1.2670000000000001,-257.223493,-155.276276,390.372583,-0.00010744,8.46e-05,-3.714e-05,3.6847025520722614,0.91482588825948,-2.597631700416667e-07,-1.2362748800000002e-07,UMa,1,68547,158.92784698824687
68561,68561,68780.0,122928.0,14.078220000000002,6.998397,128.041,-28.56,5.88,0.0,7.89,2.353,F0,0.341,-108.73638400000002,-65.78384399999999,15.600717000000001,-8.8e-06,1.54e-05,3.62e-06,3.685669299450612,0.12214506843663499,-1.3846278716666666e-07,2.8507043999999996e-08,Vir,1,68561,9.972407117415496
68575,68575,68794.0,122950.0,14.081978,-0.9868239999999999,172.117,-31.24,-10.59,0.0,9.14,2.9610000000000003,F5,0.455,-147.154699,-89.224263,-2.964279,-1.338e-05,2.237e-05,-8.83e-06,3.686653342761805,-0.017223319240470002,-1.5145579380555556e-07,-5.1341767999999996e-08,Vir,1,68575,5.6963937334118375
68587,68587,68806.0,122993.0,14.086816,-7.276582,189.3939,-57.97,-21.23,0.0,7.69,1.3030000000000002,K0,1.2819999999999998,-160.522148,-97.60759300000001,-23.988476000000002,-2.554e-05,4.676e-05,-1.933e-05,3.687919830843207,-0.12700030760201,-2.8104649061805555e-07,-1.02925944e-07,Vir,1,68587,26.230103243087672
68598,68598,68817.0,122669.0,14.089455,-62.507394,460.8295,-3.99,-1.08,-42.0,8.93,0.612,B0.5Ve,0.304,-181.692136,-110.65223799999998,-408.78788,1.413e-05,1.904e-05,3.699e-05,3.688610668739424,-1.0909598258148865,-1.9344065854166667e-08,-5.235987e-09,Cen,1,68598,49.567840659411786
