,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
95946,95946,96248.0,184266.0,19.57094,-16.316727,201.2072,129.91,-197.33,-348.6,7.59,1.072,F2V,0.5479999999999999,77.19664,-176.99826000000002,-56.527664,-4.226e-05,0.00041385,-8.456e-05,5.1236600519377085,-0.28478061397480625,6.298214524097222e-07,-9.56682835e-07,Sgr,1,95946,32.44890156605365
96077,96077,96379.0,184700.0,19.5958,-0.240436,76.864,-82.3,-326.57,-21.2,8.83,4.401,G2V,0.6629999999999999,31.18582,-70.252302,-0.32255,-3.703e-05,7.84e-06,-0.00012159,5.1301683597354835,-0.004196393490315,-3.9900165909722217e-07,-1.583256036e-06,Aql,1,96077,1.5121678487917671
96203,96203,96505.0,184421.0,19.619618,-54.153620999999994,168.9189,-11.56,-35.33,0.0,7.85,1.712,G5III,0.8290000000000001,40.698475,-90.16126,-136.923979,-1.828e-05,1.748e-05,-1.694e-05,5.1364039556109615,-0.9451589887408888,-5.604446147222222e-08,-1.71284673e-07,Tel,1,96203,17.996995165773576
96332,96332,96638.0,185163.0,19.647823000000002,-30.281096999999995,434.7826,5.2,-7.62,0.0,7.79,-0.401,A1IV,0.08900000000000001,156.99634,-341.062528,-219.235971,6.57e-06,1.194e-05,-1.387e-05,5.1437879875902235,-0.5285048422495174,2.5210311388888882e-08,-3.6942802e-08,Sgr,1,96332,126.00854590882379
96468,96468,96775.0,186020.0,19.670953,39.682902,175.4386,14.43,-1.9,0.0,8.88,2.659,G5,0.528,57.19746,-122.301763,112.02424599999999,1.155e-05,4.26e-06,-1.24e-06,5.149843532137874,0.6925973033997338,6.995861410416667e-08,-9.211459000000001e-09,Cyg,1,96468,7.523154831868718
96598,96598,96905.0,186077.0,19.698551000000002,13.246781,336.7003,4.2,0.31,0.0,8.35,0.7140000000000001,A0,0.003,140.984099,-295.868086,77.153429,6.14e-06,3.05e-06,4.9e-07,5.157068607169029,0.2311999491505675,2.0362174583333336e-08,1.5029220000000002e-09,Aql,1,96598,45.12321133443373
96736,96736,97041.0,187177.0,19.722314,69.489071,116.5501,15.39,29.61,0.0,8.26,2.927,F0...,0.381,17.796076,-36.755997,109.16145,1e-06,1.789e-05,5.86e-06,5.163289712862222,1.2128130880916377,7.461282543750003e-08,1.4355333e-07,Dra,1,96736,5.877599636805997
96872,96872,97179.0,186637.0,19.751666,16.285792,381.6794,9.66,-2.1,0.0,8.08,0.172,B9,0.023,162.182184,-328.511578,107.033856,1.651e-05,6.94e-06,-3.73e-06,5.170974137788764,0.28424069591548873,4.683300154166666e-08,-1.0181087e-08,Aql,1,96872,74.33613896551785
97005,97005,97314.0,187141.0,19.776760999999997,41.738036,363.6364,3.68,3.1,0.0,8.61,0.807,A0,0.145,121.714491,-242.514416,242.082159,4.17e-06,6.16e-06,4.08e-06,5.177543873110005,0.72846615750571,1.7841143444444448e-08,1.5029224e-08,Cyg,1,97005,41.41903726221005
97129,97129,97438.0,187748.0,19.804289,59.422902,27.7085,15.75,116.51,-3.4,6.64,4.427,G0,0.5920000000000001,6.413203,-12.551741,23.85548,-5.05e-06,1.454e-05,4.97e-06,5.184750620133854,1.0371252824936663,7.63581546875e-08,5.64856419e-07,Cyg,1,97129,1.4763862777538626
97269,97269,97580.0,186483.0,19.834034,-69.339169,248.139,5.75,-14.91,0.0,7.26,0.287,K1III,1.214,40.441386,-77.652302,-232.180054,-1.62e-06,1.808e-05,-6.33e-06,5.192538025921881,-1.210196807500041,2.7876786631944435e-08,-7.228571899999999e-08,Pav,1,97269,66.86517721976391
97397,97397,97708.0,187496.0,19.857063,-31.118693,221.2389,7.98,0.65,0.0,8.65,1.926,G8III,1.0390000000000001,88.498262,-167.455328,-114.33906499999999,7.74e-06,3.68e-06,6e-07,5.198566952521152,-0.5431236524262301,3.8688131708333335e-08,3.151288e-09,Sgr,1,97397,14.777467061719925
97526,97526,97837.0,188307.0,19.881269,41.080502,53.3049,-16.97,59.62,0.0,7.72,4.086,F8,0.5720000000000001,18.999101,-35.404947,35.02765,-8.65e-06,6.85e-06,1.161e-05,5.204904031112286,0.7169900151517651,-8.227288159027778e-08,2.89045916e-07,Cyg,1,97526,2.021156766960753
97651,97651,97962.0,188112.0,19.908727,-28.339077000000003,73.3138,33.97,20.56,0.0,10.22,5.894,B9V,-0.21899999999999997,30.919317,-56.637301,-34.801225,1.226e-05,2.74e-06,6.43e-06,5.212092556048064,-0.494610196820195,1.6469120728472222e-07,9.9677692e-08,Sgr,1,97651,0.3822962165659193
97778,97778,98089.0,188245.0,19.934391,-43.669906,272.4796,3.9,-6.32,0.0,8.63,1.453,K0III,1.057,95.60016800000001,-172.354635,-188.147868,1.71e-06,7.54e-06,-6.04e-06,5.2188114584426675,-0.7621836411019599,1.890773354166666e-08,-3.0640224e-08,Sgr,1,97778,22.845464885518254
97903,97903,98214.0,189088.0,19.958126,21.756921,456.621,5.26,-3.65,0.0,7.58,-0.718,K0,1.304,208.00778,-369.578226,169.255535,1.162e-05,3.1e-06,-7.5e-06,5.2250250971354975,0.37972990216263375,2.5501199597222217e-08,-1.7695699000000002e-08,Vul,1,97903,168.73298906258032
98032,98032,98343.0,189474.0,19.981011,35.497756,213.6752,26.51,8.19,4.6,6.99,0.341,A0,0.031,86.230594,-151.08534,124.07503200000001,2.331e-05,1.456e-05,9.64e-06,5.2310163455859335,0.6195527254295999,1.2852410671527775e-07,3.970624e-08,Cyg,1,98032,63.62092805735179
98158,98158,98469.0,190693.0,20.005582999999998,71.900162,502.5126,-6.42,-11.59,0.0,7.8,-0.706,K5,1.4369999999999998,78.256187,-135.087504,477.64657300000005,-8e-08,-3.106e-05,-8.77e-06,5.237449404655915,1.2548945583383313,-3.1125038291666665e-08,-5.6189904999999995e-08,Dra,1,98158,166.8783511365391
98283,98283,98594.0,190833.0,20.026104999999998,70.454494,183.8235,7.94,10.77,0.0,8.07,1.7480000000000002,B9,0.215,31.112877,-53.048412,173.23086899999998,1.53e-06,1.138e-05,3.21e-06,5.2428219668243035,1.2296628998762889,3.849420623611111e-08,5.2214432999999996e-08,Dra,1,98283,17.41004926352607
98412,98412,98724.0,189926.0,20.051564000000003,-17.348294,234.192,-26.81,-32.65,0.0,7.55,0.7020000000000001,K1IIICN...,1.26,114.37237900000001,-192.06365300000002,-69.83126,-3.181e-05,-6.08e-06,-3.538e-05,5.2494872736877065,-0.3027848490520775,-1.2997854775694443e-07,-1.5829166599999998e-07,Sgr,1,98412,45.62469770768503
98544,98544,98859.0,189951.0,20.074939,-44.946923999999996,190.4762,16.93,-8.8,0.0,7.83,1.431,A9IV,0.294,69.68329200000001,-115.405543,-134.56218700000002,1.042e-05,1.299e-05,-5.75e-06,5.2556066691908665,-0.7844718103065262,8.207895611805556e-08,-4.2663603e-08,Sgr,1,98544,23.313098574180284
98668,98668,98983.0,189971.0,20.095215,-57.617408999999995,212.3142,-0.54,9.05,0.0,8.77,2.135,A1m...,0.361,59.291371999999996,-97.027353,-179.29736599999998,3.63e-06,-7e-06,4.99e-06,5.2609149810925535,-1.0056134930881675,-2.617993875e-09,4.3875638e-08,Pav,1,98668,12.189895989248669
98796,98796,99112.0,191353.0,20.121765,48.190687,194.5525,-16.32,-7.5,0.0,7.69,1.245,F8,0.515,68.39661,-110.19876599999999,145.013141,-1.03e-05,-1.26e-05,-4.72e-06,5.267865868686063,0.8410861648410225,-7.912159266666668e-08,-3.6361026e-08,Cyg,1,98796,27.669416454115108
98933,98933,99249.0,191130.0,20.147092999999998,-15.412115,421.9409,-1.98,8.57,0.0,8.3,0.174,M2III,1.8869999999999998,216.79520499999998,-344.179756,-112.134997,-9.4e-07,-6.1e-06,1.69e-05,5.274496599006031,-0.268992145450345,-9.599310875e-09,4.1548532e-08,Cap,1,98933,74.19933277899432
99057,99057,99374.0,191271.0,20.170054,-31.16625,222.2222,13.94,-51.88,0.0,8.1,1.3659999999999999,F0V,0.335,102.309034,-160.279104,-115.00511499999999,-2.9e-06,3.246e-05,-4.782e-05,5.280507897351487,-0.5439536828116988,6.758302706944443e-08,-2.51521337e-07,Sgr,1,99057,24.75141318074313
